query_id,kueri,Model,Versi,Korpus,Spearman
1,cara mengatasi kemarahan,BM25,B,ID,-0.2236
2,cara mengatasi ngantuk,BM25,B,ID,
3,apa penyebab penderitaan,BM25,B,ID,0.1118
4,mengapa harus membalas budi orangtua,BM25,B,ID,-0.7826
5,perumpamaan perumpamaan,BM25,B,ID,0.6708
6,apa itu kemurahan hati,BM25,B,ID,0.8721
7,penjelasan tentang perhatian murni,BM25,B,ID,-0.5441
8,manfaat pelaksaan sila,BM25,B,ID,-0.3536
9,jenis jenis kotoran batin,BM25,B,ID,
10,kriteria kesucian,BM25,B,ID,0.7071
11,siapa yang layak disebut sebagai brahmana,BM25,B,ID,
12,kewajiban seorang bhikkhu,BM25,B,ID,0.866
13,berbagai jenis pemberian,BM25,B,ID,0.866
14,apa makna kekosongan,BM25,B,ID,0.0
15,apa kualitas yang harus dimiliki oleh seorang penceramah,BM25,B,ID,-0.7071
16,harta yang paling bernilai,BM25,B,ID,0.3591
17,kewajiban seorang umat awam,BM25,B,ID,-0.7454
18,penyebab gempa bumi,BM25,B,ID,-0.7071
19,jenis jenis kemelekatan,BM25,B,ID,0.6708
20,penggambaran terhadap keagungan buddha,BM25,B,ID,-0.3536
21,jenis jenis manusia,BM25,B,ID,-0.5774
22,cara mengikis kotoran batin,BM25,B,ID,0.5441
23,penjelasan tentang pandangan terang,BM25,B,ID,
24,apa yang terjadi pada saat pencapaian pencerahan,BM25,B,ID,0.5774
25,perasaan malu dan takut,BM25,B,ID,-0.3162
26,bersatu di kehidupan selanjutnya,BM25,B,ID,0.8944
27,jenis jenis karma buruk,BM25,B,ID,-0.1579
28,berbagai jenis perbuatan baik,BM25,B,ID,0.3689
29,jenis orang yang tak boleh ditahbiskan,BM25,B,ID,-0.5441
30,apa itu proliferasi mental,BM25,B,ID,0.2962
1,cara mengatasi kemarahan,bge-m3,B,ID,-0.7826
2,cara mengatasi ngantuk,bge-m3,B,ID,0.5774
3,apa penyebab penderitaan,bge-m3,B,ID,0.0
4,mengapa harus membalas budi orangtua,bge-m3,B,ID,-0.866
6,apa itu kemurahan hati,bge-m3,B,ID,0.8944
7,penjelasan tentang perhatian murni,bge-m3,B,ID,0.9487
8,manfaat pelaksaan sila,bge-m3,B,ID,0.866
9,jenis jenis kotoran batin,bge-m3,B,ID,
10,kriteria kesucian,bge-m3,B,ID,
11,siapa yang layak disebut sebagai brahmana,bge-m3,B,ID,0.1081
12,kewajiban seorang bhikkhu,bge-m3,B,ID,-0.2962
13,berbagai jenis pemberian,bge-m3,B,ID,0.7071
14,apa makna kekosongan,bge-m3,B,ID,-0.7454
15,apa kualitas yang harus dimiliki oleh seorang penceramah,bge-m3,B,ID,-0.2887
16,harta yang paling bernilai,bge-m3,B,ID,0.1352
17,kewajiban seorang umat awam,bge-m3,B,ID,-0.3627
18,penyebab gempa bumi,bge-m3,B,ID,0.0
19,jenis jenis kemelekatan,bge-m3,B,ID,-0.2962
20,penggambaran terhadap keagungan buddha,bge-m3,B,ID,0.9682
21,jenis jenis manusia,bge-m3,B,ID,-0.7071
22,cara mengikis kotoran batin,bge-m3,B,ID,0.1054
23,penjelasan tentang pandangan terang,bge-m3,B,ID,
24,apa yang terjadi pada saat pencapaian pencerahan,bge-m3,B,ID,0.0
25,perasaan malu dan takut,bge-m3,B,ID,-0.7379
26,bersatu di kehidupan selanjutnya,bge-m3,B,ID,
27,jenis jenis karma buruk,bge-m3,B,ID,-0.4472
28,berbagai jenis perbuatan baik,bge-m3,B,ID,0.0
29,jenis orang yang tak boleh ditahbiskan,bge-m3,B,ID,
30,apa itu proliferasi mental,bge-m3,B,ID,0.9487
1,cara mengatasi kemarahan,gpl-gte-multilingual-base,GPL,ID,-0.3536
2,cara mengatasi ngantuk,gpl-gte-multilingual-base,GPL,ID,
3,apa penyebab penderitaan,gpl-gte-multilingual-base,GPL,ID,
4,mengapa harus membalas budi orangtua,gpl-gte-multilingual-base,GPL,ID,0.4617
5,perumpamaan perumpamaan,gpl-gte-multilingual-base,GPL,ID,-0.3354
6,apa itu kemurahan hati,gpl-gte-multilingual-base,GPL,ID,0.9747
7,penjelasan tentang perhatian murni,gpl-gte-multilingual-base,GPL,ID,0.7906
8,manfaat pelaksaan sila,gpl-gte-multilingual-base,GPL,ID,0.6842
9,jenis jenis kotoran batin,gpl-gte-multilingual-base,GPL,ID,0.1054
10,kriteria kesucian,gpl-gte-multilingual-base,GPL,ID,-0.3536
11,siapa yang layak disebut sebagai brahmana,gpl-gte-multilingual-base,GPL,ID,0.0
12,kewajiban seorang bhikkhu,gpl-gte-multilingual-base,GPL,ID,0.8944
13,berbagai jenis pemberian,gpl-gte-multilingual-base,GPL,ID,0.866
14,apa makna kekosongan,gpl-gte-multilingual-base,GPL,ID,
15,apa kualitas yang harus dimiliki oleh seorang penceramah,gpl-gte-multilingual-base,GPL,ID,0.1481
16,harta yang paling bernilai,gpl-gte-multilingual-base,GPL,ID,0.7906
17,kewajiban seorang umat awam,gpl-gte-multilingual-base,GPL,ID,0.3078
18,penyebab gempa bumi,gpl-gte-multilingual-base,GPL,ID,0.7071
19,jenis jenis kemelekatan,gpl-gte-multilingual-base,GPL,ID,
20,penggambaran terhadap keagungan buddha,gpl-gte-multilingual-base,GPL,ID,-0.1581
21,jenis jenis manusia,gpl-gte-multilingual-base,GPL,ID,0.7071
22,cara mengikis kotoran batin,gpl-gte-multilingual-base,GPL,ID,
23,penjelasan tentang pandangan terang,gpl-gte-multilingual-base,GPL,ID,-0.7255
